link,qu0,qd0,h0
8811913,0.7746061,0.7746061,0.33633888
8814677,0.3606811,0.3606811,0.6880848
8815523,0.14512445,0.14512445,0.37582505
8815931,0.12820368,0.12820368,0.13723384
8816053,1.8076082,1.8076082,0.3374427
8831612,0.9820888,0.9820888,0.3999019
8832660,0.90550464,0.90550464,1.1197376
8848707,2.3487365,2.3487365,0.87417096
8849467,0.81056696,0.81056696,1.5683701
8849741,3.0998473,3.0998473,0.6089793
8853499,0.2338444,0.2338444,0.23348252
8868864,4.860476,4.860476,1.1251622
8870342,2.6695335,2.6695335,0.48411316
8874898,1.3240974,1.3240974,1.8275338
8889764,2.169167,2.169167,0.58465934
8891078,1.3970454,1.3970454,0.43608868
8891588,1.6840472,1.6840472,0.0
8893258,0.0041307346,0.0041307346,0.21423617
8893260,3.6687926e-36,3.6687926e-36,0.0
8893264,1.3211139e-37,1.3211139e-37,0.0
8893268,0.46578482,0.46578482,0.18758488
8894300,0.7426987,0.7426987,1.5928725
8894326,1.7855124e-33,1.7855124e-33,5.8673322e-08
9063370,0.98214775,0.98214775,0.4928596
9071754,2.7786222e-33,2.7786222e-33,0.0
9087018,4.583888e-36,4.583888e-36,0.0
9087022,7.5500064e-34,7.5500064e-34,0.0
9089176,1.5058381e-36,1.5058381e-36,0.0
9090166,1.9170348e-33,1.9170348e-33,0.0
9095030,9.783744e-05,9.783744e-05,0.0010031369
9108926,2.343594,2.343594,0.6282454
9108928,0.0052998634,0.0052998634,0.07288812
9110180,0.79974395,0.79974395,0.36113796
9114542,0.37637603,0.37637603,0.67975855
9125594,0.6972099,0.6972099,0.234077
9126688,8.3820654e-05,8.3820654e-05,0.0045156423
9126690,7.571216e-37,7.571216e-37,0.0
9126700,0.110325836,0.110325836,0.38146088
9130876,0.20961437,0.20961437,0.2071819
9132864,1.0287435e-05,1.0287435e-05,0.0015510824
9146560,0.019636517,0.019636517,0.06435027
9149786,4.3960708e-35,4.3960708e-35,0.0
9149808,0.0040718284,0.0040718284,0.048926
9149810,2.383909e-36,2.383909e-36,0.0
9150500,3.0275853e-36,3.0275853e-36,0.0
9153262,0.0027254163,0.0027254163,0.009620371
9154414,1.0966495e-33,1.0966495e-33,0.0
9165322,1.545528,1.545528,0.50339526
9166984,0.47832727,0.47832727,1.3496971
9170116,0.4442492,0.4442492,0.23133783
9170874,0.61709195,0.61709195,0.269316
9178154,0.5628504,0.5628504,0.8548159
9178156,9.7086334e-36,9.7086334e-36,0.0
9178176,1.431172e-34,1.431172e-34,0.0
9203233,9.875053e-34,9.875053e-34,0.0
9211186,4.7973905,4.7973905,0.6027233
9212900,0.0074521005,0.0074521005,0.026436374
9219593,1.1589906,1.1589906,1.6966157
9223547,3.346199,3.346199,2.394165
9235997,1.1624077e-34,1.1624077e-34,0.0
9246048,3.3545215e-34,3.3545215e-34,0.0
9252140,0.09789082,0.09789082,0.2776228
9252586,5.3430305e-34,5.3430305e-34,0.0
9721509,4.0443145e-34,4.0443145e-34,3.7252903e-09
10451800,1.2962252,1.2962252,1.7914207
10460565,1.768878e-33,1.768878e-33,0.0
10461589,1.0455887,1.0455887,0.40119994
10478107,0.097208284,0.097208284,0.29089457
10511074,0.041824695,0.041824695,0.6824575
10511076,0.002495104,0.002495104,0.31251252
10512124,0.5346031,0.5346031,0.27096266
10519322,3.981769,3.981769,2.7127798
10524075,2.494649,2.494649,0.566894
10524159,0.94944584,0.94944584,1.6373811
10524191,0.0032007806,0.0032007806,0.32702106
